t,return,crowding
120,0.002648235302352791,0.03775563404878481
121,-0.01550929864533146,0.20329508559206974
122,-0.006685708035331818,0.06481897460310738
123,0.0006202029825342626,0.04661940546783876
124,0.0020315207847425385,0.0806295214640565
125,0.0030448040998193216,0.17855597554579966
126,-0.00224596941682507,0.18952895055914876
127,0.004178292220145592,0.04015332124280168
128,-0.011897361055881498,0.02726733608681008
129,0.008250031831422772,0.12190740185490714
130,-0.001665662159493971,0.09677407973953825
131,0.003627249167598884,0.1620952463823213
132,-0.004804635594723306,0.06992129468248244
133,0.009000026579728879,0.05041847781240474
134,0.00556959895913998,0.03842065682428224
135,0.01029559264768033,0.062145761913121336
136,0.006076135245698209,0.015065311172041095
137,-0.009365687321684663,0.0032979568401956027
138,-0.009738554988580781,0.005715167588984747
139,-0.004695080328762934,0.02794188035055004
140,0.019732643536517346,0.01433247036109248
141,-0.0018212924446389764,0.0965340764927692
142,0.004689045812273745,0.19836543282179292
143,0.008239996234118927,0.16981581525785167
144,0.0013643803197510023,0.26628344875978155
145,0.01302503270747055,0.07903277054494799
146,-0.007206654790261846,0.12191641926830676
147,0.0037514333764095075,0.18632479301739407
148,0.0006778879334742539,0.14186329384996305
149,0.007407396315593679,0.04717736587109126
150,0.007206336085223597,0.08407035310002056
151,0.004403747044152779,0.025196670588748228
152,0.01653001495348388,0.0675051037482613
153,0.013208345364743586,0.04332986133974164
154,-0.004657751831713193,0.0631375849998064
155,0.010013416695500717,0.0689349808628025
156,0.02188203253263474,0.005039169922430611
157,0.0018290470202649337,0.05855320407165102
158,-0.0006873850520641707,0.07493496257618734
159,0.004705177582156442,0.028473056394013624
160,0.0008067929673163666,0.05922680944045247
161,0.010075536791465724,0.14356212390990553
162,0.016867659046088807,0.12504213713767595
163,-0.007908644252906537,0.06481178619439101
164,0.010389770435913926,0.06328906158568347
165,0.010160794832653032,0.14269301226426342
166,0.011468338465363699,0.2874929812225263
167,0.0033441030322059304,0.26278399057803226
168,0.01460174142639233,0.06174951735008163
169,-0.007445972550239446,0.07504169170063406
170,0.0026064074980545154,0.024556280097151592
171,-0.00108555640907757,0.12168913914959897
172,-0.004397147005791386,0.08415981205684542
173,0.008719158892411564,0.021470960337615117
174,0.006539035861392141,0.0425385960024727
175,0.009996061467502211,0.11283371395037158
176,-0.013354901971674372,0.11135230505367863
177,0.0001512873611688709,0.21510380376422475
178,0.026436137734230956,0.08445260057983289
179,-0.00039911513755043503,0.10572781099728555
180,0.006427497571325201,0.0403597641963691
181,0.0075635620937637435,0.09511231618175989
182,-0.004935755866543724,0.06051430577496536
183,0.0021406720039357924,0.05117831928237411
184,0.003052017887268034,0.21351859944908605
185,-0.0013225348439862808,0.04858665861790249
186,0.008550114181022668,0.026212744311208534
187,0.006339122832545609,0.1802782059213549
188,0.009981156087160426,0.025390234991818396
189,-0.0006647247445385637,0.022449642790218133
190,0.010674965827788239,0.015599920271681809
191,-0.002663626621343136,0.022989583551687138
192,0.0021780205183966547,0.017743844249323806
193,0.003174742806286738,0.054410874199623545
194,0.015161898866895366,0.13769088410944716
195,0.013967874949151127,0.14916503096448838
196,-0.004864835346589336,0.08163843184000755
197,-0.004987498839168148,0.03810258281058991
198,-0.0011846530521071896,0.09751624220201263
199,-0.007929122723749417,0.06057784019013782
200,-0.006173830650065856,0.14800685924471332
201,0.005965188522673967,0.009791656066879711
202,-0.009409152369248575,0.0772226919978305
203,0.014213218635891553,0.1458384488390151
204,-0.0021453909376800404,0.2560177292420239
205,9.282675411465208e-05,0.08172450684359722
206,0.00435792540802126,0.057768315518494553
207,0.007972702828429415,0.09308909936660516
208,-0.0016237765317170952,0.0783648104144215
209,-0.0011283870631243794,0.06155087887558839
210,0.01543486896145419,0.009517563638578606
211,0.012114970538566364,0.040932766009491674
212,0.007276314418151024,0.1125357478968405
213,0.010197869336404066,0.09617661674179981
214,0.009395827910285972,0.05288892633171129
215,0.00018013983252266363,0.023622680103295622
216,0.004537149473631613,0.09233889955637967
217,0.002336554570676072,0.05147153609910449
218,-0.0009034776550513486,0.09672634165737237
219,-0.002482590270567282,0.09792752798906874
220,-0.00016788017932214367,0.1009739942504958
221,-0.00908837164443183,0.08873677950020994
222,-0.00014302351244583643,0.11145330122150121
223,-0.01371821804301349,0.13944371726904037
224,-0.0014890266884799602,0.03403851391901674
225,-0.007489097379995273,0.11069575548540037
226,-0.0035999024829041167,0.13112063930418386
227,0.007236389509646516,0.1280148498654632
228,-0.010062012939299451,0.004588266752534309
229,-0.007607874454099876,0.09137719870620098
230,0.0013772321535712208,0.20067830383277716
231,0.0059008163424287855,0.11174496396173222
232,0.00030035505669012295,0.07767729105655817
233,0.003342011332934722,0.11332363694054923
234,0.0013518360616519831,0.2021640859879731
235,0.004571096948653927,0.01748839991578523
236,0.006842937614923905,0.045554533413788505
237,-0.0008285540947895569,0.06283172457270746
238,0.0047185467152437025,0.0022013468677605083
239,0.00011761967281460057,0.03864468889160321
